feature,score
x_dis_769,1416
x_dis_132,1122
x_dis_755,949
x_dis_346,927
x_dis_776,922
x_dis_341,903
x_dis_70,874
x_dis_345,849
x_dis_262,785
x_dis_584,773
x_dis_758,769
x_dis_338,766
x_dis_775,740
x_dis_759,739
x_dis_761,733
x_dis_767,715
x_dis_742,707
x_dis_332,658
x_dis_754,639
x_dis_28,634
x_dis_748,618
x_dis_779,594
x_dis_65,590
x_dis_25,583
x_dis_79,583
x_dis_336,582
x_dis_771,563
x_dis_732,561
x_dis_790,556
x_dis_319,552
x_dis_46,549
x_dis_52,546
x_dis_48,540
x_dis_39,539
x_dis_166,537
x_dis_247,534
x_dis_13,529
x_dis_471,528
x_dis_793,524
x_dis_342,516
x_dis_51,510
x_dis_542,509
x_dis_236,509
x_dis_382,504
x_dis_42,503
x_dis_29,489
x_dis_329,482
x_dis_422,481
x_dis_354,477
x_dis_522,475
x_dis_138,474
x_dis_266,463
x_dis_309,461
x_dis_62,459
x_dis_226,459
x_dis_30,457
x_dis_457,454
x_dis_450,447
x_dis_764,444
x_dis_207,442
x_dis_736,436
x_dis_253,435
x_dis_366,432
x_dis_454,429
x_dis_196,429
x_dis_743,425
x_dis_53,424
x_dis_60,420
x_dis_47,418
x_dis_4,405
x_dis_78,401
x_dis_369,400
x_dis_170,398
x_dis_464,395
x_dis_26,394
x_dis_71,393
x_dis_141,391
x_dis_7,385
x_dis_655,384
x_dis_95,383
x_dis_27,379
x_dis_479,378
x_dis_69,377
x_dis_63,374
x_dis_1,373
x_dis_31,372
x_dis_34,372
x_dis_76,367
x_dis_194,364
x_dis_19,361
x_dis_284,359
x_dis_22,359
x_dis_98,359
x_dis_734,352
x_dis_301,349
x_dis_448,349
x_dis_462,348
x_dis_57,348
x_dis_472,347
x_dis_9,345
x_dis_333,342
x_dis_178,341
x_dis_786,339
x_dis_10,339
x_dis_190,338
x_dis_218,336
x_dis_151,332
x_dis_73,329
x_dis_37,327
x_dis_423,325
x_dis_739,324
x_dis_192,323
x_dis_201,322
x_dis_489,321
x_dis_187,320
x_dis_152,320
x_dis_221,315
x_dis_789,313
x_dis_183,312
x_dis_185,311
x_dis_251,309
x_dis_144,308
x_dis_733,307
x_dis_249,306
x_dis_58,306
x_dis_383,305
x_dis_103,304
x_dis_155,302
x_dis_129,302
x_dis_437,299
x_dis_44,295
x_dis_14,292
x_dis_15,291
x_dis_68,287
x_dis_461,287
x_dis_460,281
x_dis_16,280
x_dis_268,280
x_dis_148,279
x_dis_731,278
x_dis_90,277
x_dis_465,276
x_dis_239,276
x_dis_8,275
x_dis_638,273
x_dis_94,272
x_dis_168,272
x_dis_303,270
x_dis_316,269
x_dis_5,265
x_dis_167,265
x_dis_521,265
x_dis_222,264
x_dis_32,262
x_dis_375,262
x_dis_237,261
x_dis_476,259
x_dis_38,259
x_dis_173,256
x_dis_67,255
x_dis_136,255
x_dis_580,255
x_dis_480,254
x_dis_473,254
x_dis_343,254
x_dis_116,253
x_dis_180,252
x_dis_2,252
x_dis_84,251
x_dis_533,251
x_dis_146,251
x_dis_93,248
x_dis_80,247
x_dis_49,246
x_dis_213,246
x_dis_234,245
x_dis_133,242
x_dis_391,242
x_dis_586,241
x_dis_557,240
x_dis_55,239
x_dis_292,237
x_dis_294,237
x_dis_35,236
x_dis_118,236
x_dis_147,235
x_dis_624,235
x_dis_197,233
x_dis_99,233
x_dis_254,232
x_dis_6,232
x_dis_563,230
x_dis_475,227
x_dis_488,226
x_dis_50,226
x_dis_264,226
x_dis_587,226
x_dis_198,226
x_dis_304,226
x_dis_75,226
x_dis_658,224
x_dis_61,224
x_dis_3,224
x_dis_272,220
x_dis_177,219
x_dis_246,219
x_dis_45,219
x_dis_204,218
x_dis_153,217
x_dis_66,216
x_dis_174,216
x_dis_277,215
x_dis_561,215
x_dis_74,214
x_dis_543,212
x_dis_562,211
x_dis_500,211
x_dis_278,211
x_dis_595,210
x_dis_434,209
x_dis_126,209
x_dis_295,208
x_dis_682,207
x_dis_265,207
x_dis_424,207
x_dis_97,207
x_dis_162,207
x_dis_740,205
x_dis_688,204
x_dis_82,203
x_dis_724,203
x_dis_596,202
x_dis_525,202
x_dis_453,201
x_dis_458,200
x_dis_176,200
x_dis_269,199
x_dis_300,198
x_dis_256,198
x_dis_124,197
x_dis_215,197
x_dis_260,197
x_dis_113,197
x_dis_618,196
x_dis_282,196
x_dis_109,196
x_dis_33,195
x_dis_520,195
x_dis_115,195
x_dis_216,195
x_dis_548,195
x_dis_571,194
x_dis_339,194
x_dis_517,193
x_dis_279,193
x_dis_169,192
x_dis_248,191
x_dis_493,191
x_dis_307,190
x_dis_267,190
x_dis_315,190
x_dis_628,190
x_dis_159,189
x_dis_575,188
x_dis_335,187
x_dis_225,186
x_dis_160,186
x_dis_202,186
x_dis_195,186
x_dis_564,185
x_dis_599,184
x_dis_330,184
x_dis_608,184
x_dis_119,183
x_dis_607,183
x_dis_189,183
x_dis_122,181
x_dis_568,181
x_dis_641,181
x_dis_463,181
x_dis_474,180
x_dis_273,180
x_dis_259,179
x_dis_164,179
x_dis_446,179
x_dis_96,178
x_dis_609,178
x_dis_20,177
x_dis_40,177
x_dis_223,177
x_dis_610,176
x_dis_592,175
x_dis_232,175
x_dis_23,174
x_dis_420,174
x_dis_318,174
x_dis_156,173
x_dis_358,173
x_dis_36,172
x_dis_590,172
x_dis_784,171
x_dis_21,171
x_dis_337,170
x_dis_305,170
x_dis_578,168
x_dis_91,168
x_dis_83,168
x_dis_296,167
x_dis_350,167
x_dis_11,165
x_dis_114,164
x_dis_191,164
x_dis_17,163
x_dis_87,163
x_dis_551,163
x_dis_286,163
x_dis_86,162
x_dis_184,162
x_dis_64,161
x_dis_550,160
x_dis_288,160
x_dis_112,160
x_dis_233,160
x_dis_588,158
x_dis_687,157
x_dis_120,156
x_dis_117,155
x_dis_56,154
x_dis_589,154
x_dis_143,154
x_dis_131,153
x_dis_175,153
x_dis_208,153
x_dis_285,152
x_dis_270,152
x_dis_585,152
x_dis_490,151
x_dis_643,151
x_dis_104,151
x_dis_206,151
x_dis_172,151
x_dis_552,149
x_dis_359,149
x_dis_519,149
x_dis_165,149
x_dis_349,149
x_dis_621,148
x_dis_85,148
x_dis_18,147
x_dis_106,146
x_dis_179,146
x_dis_594,145
x_dis_654,145
x_dis_12,144
x_dis_219,144
x_dis_650,143
x_dis_134,143
x_dis_54,143
x_dis_211,143
x_dis_484,142
x_dis_494,141
x_dis_600,141
x_dis_630,139
x_dis_545,139
x_dis_418,139
x_dis_322,139
x_dis_606,139
x_dis_231,139
x_dis_572,138
x_dis_441,138
x_dis_619,138
x_dis_41,137
x_dis_502,137
x_dis_351,136
x_dis_496,135
x_dis_546,135
x_dis_327,135
x_dis_310,135
x_dis_508,134
x_dis_283,134
x_dis_459,134
x_dis_127,133
x_dis_627,133
x_dis_24,133
x_dis_203,133
x_dis_676,132
x_dis_549,131
x_dis_182,131
x_dis_235,131
x_dis_100,131
x_dis_726,129
x_dis_140,129
x_dis_781,129
x_dis_583,129
x_dis_466,128
x_dis_602,128
x_dis_291,127
x_dis_577,127
x_dis_157,127
x_dis_645,126
x_dis_130,126
x_dis_365,125
x_dis_518,125
x_dis_163,125
x_dis_662,125
x_dis_298,125
x_dis_509,124
x_dis_492,124
x_dis_640,123
x_dis_581,123
x_dis_101,122
x_dis_738,122
x_dis_482,122
x_dis_544,121
x_dis_72,121
x_dis_579,121
x_dis_289,121
x_dis_541,121
x_dis_529,120
x_dis_145,119
x_dis_154,119
x_dis_483,119
x_dis_506,119
x_dis_121,118
x_dis_576,118
x_dis_523,117
x_dis_334,117
x_dis_355,116
x_dis_125,115
x_dis_555,115
x_dis_306,114
x_dis_242,114
x_dis_639,113
x_dis_368,113
x_dis_356,113
x_dis_649,112
x_dis_612,112
x_dis_664,112
x_dis_616,112
x_dis_478,112
x_dis_635,111
x_dis_92,111
x_dis_683,111
x_dis_228,111
x_dis_605,110
x_dis_186,109
x_dis_574,109
x_dis_150,109
x_dis_257,108
x_dis_275,108
x_dis_536,108
x_dis_370,108
x_dis_646,107
x_dis_547,106
x_dis_534,106
x_dis_123,106
x_dis_625,106
x_dis_276,105
x_dis_656,104
x_dis_108,104
x_dis_386,104
x_dis_317,103
x_dis_313,103
x_dis_311,103
x_dis_297,103
x_dis_139,103
x_dis_620,102
x_dis_527,101
x_dis_531,101
x_dis_344,100
x_dis_604,100
x_dis_230,100
x_dis_614,99
x_dis_181,99
x_dis_135,99
x_dis_503,98
x_dis_657,98
x_dis_530,98
x_dis_258,98
x_dis_569,98
x_dis_261,98
x_dis_642,97
x_dis_511,97
x_dis_603,96
x_dis_363,96
x_dis_326,96
x_dis_626,95
x_dis_794,95
x_dis_308,95
x_dis_491,94
x_dis_505,94
x_dis_597,94
x_dis_532,94
x_dis_263,94
x_dis_684,93
x_dis_200,93
x_dis_559,93
x_dis_611,93
x_dis_227,93
x_dis_535,93
x_dis_485,93
x_dis_558,92
x_dis_110,92
x_dis_467,91
x_dis_321,91
x_dis_617,91
x_dis_637,91
x_dis_357,91
x_dis_217,90
x_dis_244,90
x_dis_470,88
x_dis_88,88
x_dis_515,88
x_dis_205,88
x_dis_636,87
x_dis_331,87
x_dis_442,86
x_dis_469,86
x_dis_634,85
x_dis_672,85
x_dis_570,85
x_dis_582,84
x_dis_701,84
x_dis_665,84
x_dis_241,84
x_dis_328,84
x_dis_128,82
x_dis_675,82
x_dis_161,82
x_dis_615,81
x_dis_593,81
x_dis_193,81
x_dis_539,80
x_dis_652,80
x_dis_314,80
x_dis_323,79
x_dis_648,79
x_dis_367,79
x_dis_651,77
x_dis_137,77
x_dis_526,77
x_dis_105,76
x_dis_89,76
x_dis_111,75
x_dis_659,75
x_dis_510,74
x_dis_320,74
x_dis_142,74
x_dis_663,73
x_dis_647,73
x_dis_497,72
x_dis_501,71
x_dis_395,71
x_dis_425,70
x_dis_660,70
x_dis_362,69
x_dis_622,67
x_dis_290,67
x_dis_348,67
x_dis_381,67
x_dis_43,67
x_dis_553,66
x_dis_670,66
x_dis_560,66
x_dis_512,65
x_dis_376,65
x_dis_240,65
x_dis_377,65
x_dis_554,65
x_dis_556,63
x_dis_693,63
x_dis_364,62
x_dis_666,61
x_dis_378,60
x_dis_516,60
x_dis_495,60
x_dis_565,60
x_dis_360,59
x_dis_243,59
x_dis_238,59
x_dis_427,59
x_dis_212,58
x_dis_402,58
x_dis_210,58
x_dis_188,57
x_dis_514,57
x_dis_399,57
x_dis_690,56
x_dis_347,56
x_dis_409,55
x_dis_408,55
