feature,score
x_dis_769,278
x_dis_132,230
x_dis_346,197
x_dis_755,184
x_dis_341,184
x_dis_776,179
x_dis_345,178
x_dis_761,174
x_dis_758,169
x_dis_759,167
x_dis_262,157
x_dis_775,157
x_dis_584,156
x_dis_338,155
x_dis_754,153
x_dis_70,151
x_dis_742,142
x_dis_767,139
x_dis_779,133
x_dis_336,130
x_dis_319,130
x_dis_39,128
x_dis_748,124
x_dis_28,122
x_dis_790,122
x_dis_332,121
x_dis_13,120
x_dis_771,119
x_dis_79,118
x_dis_382,118
x_dis_166,117
x_dis_247,114
x_dis_732,114
x_dis_42,114
x_dis_48,113
x_dis_236,112
x_dis_207,111
x_dis_471,111
x_dis_29,111
x_dis_422,110
x_dis_25,110
x_dis_65,110
x_dis_354,109
x_dis_51,108
x_dis_52,108
x_dis_30,105
x_dis_522,105
x_dis_196,105
x_dis_46,102
x_dis_138,102
x_dis_226,102
x_dis_743,102
x_dis_62,101
x_dis_542,99
x_dis_366,98
x_dis_736,98
x_dis_309,97
x_dis_793,96
x_dis_4,93
x_dis_764,92
x_dis_450,92
x_dis_342,91
x_dis_53,90
x_dis_266,89
x_dis_151,89
x_dis_170,88
x_dis_69,88
x_dis_457,88
x_dis_26,87
x_dis_253,86
x_dis_47,86
x_dis_423,85
x_dis_786,85
x_dis_78,84
x_dis_333,84
x_dis_73,83
x_dis_71,83
x_dis_34,82
x_dis_655,80
x_dis_1,80
x_dis_27,80
x_dis_95,80
x_dis_369,79
x_dis_63,78
x_dis_9,78
x_dis_462,78
x_dis_448,78
x_dis_60,77
x_dis_454,77
x_dis_185,76
x_dis_98,76
x_dis_734,75
x_dis_31,74
x_dis_479,74
x_dis_472,74
x_dis_329,74
x_dis_178,72
x_dis_7,72
x_dis_22,71
x_dis_489,70
x_dis_201,70
x_dis_148,70
x_dis_190,70
x_dis_58,70
x_dis_19,69
x_dis_464,69
x_dis_15,68
x_dis_187,68
x_dis_155,68
x_dis_57,67
x_dis_437,67
x_dis_218,66
x_dis_194,66
x_dis_239,65
x_dis_473,65
x_dis_44,65
x_dis_375,65
x_dis_129,65
x_dis_183,64
x_dis_461,64
x_dis_731,64
x_dis_739,64
x_dis_383,64
x_dis_76,64
x_dis_10,63
x_dis_251,62
x_dis_733,62
x_dis_789,62
x_dis_168,62
x_dis_301,62
x_dis_136,61
x_dis_624,61
x_dis_152,61
x_dis_476,61
x_dis_221,61
x_dis_5,60
x_dis_480,60
x_dis_316,59
x_dis_249,59
x_dis_460,59
x_dis_268,59
x_dis_141,59
x_dis_38,59
x_dis_144,58
x_dis_37,58
x_dis_563,58
x_dis_303,58
x_dis_75,58
x_dis_557,58
x_dis_180,57
x_dis_533,57
x_dis_587,57
x_dis_90,57
x_dis_198,57
x_dis_146,57
x_dis_192,56
x_dis_222,56
x_dis_8,56
x_dis_174,56
x_dis_2,55
x_dis_586,55
x_dis_284,55
x_dis_49,55
x_dis_167,54
x_dis_80,54
x_dis_424,54
x_dis_68,54
x_dis_14,53
x_dis_564,53
x_dis_465,53
x_dis_3,52
x_dis_50,52
x_dis_173,52
x_dis_343,52
x_dis_272,52
x_dis_475,52
x_dis_153,52
x_dis_520,52
x_dis_94,51
x_dis_638,51
x_dis_580,51
x_dis_67,50
x_dis_292,50
x_dis_16,50
x_dis_45,50
x_dis_99,50
x_dis_254,49
x_dis_32,49
x_dis_169,49
x_dis_561,49
x_dis_103,48
x_dis_113,48
x_dis_93,48
x_dis_641,48
x_dis_304,48
x_dis_133,48
x_dis_84,48
x_dis_525,48
x_dis_562,48
x_dis_500,48
x_dis_116,48
x_dis_592,47
x_dis_521,47
x_dis_277,47
x_dis_237,47
x_dis_118,47
x_dis_488,46
x_dis_6,46
x_dis_197,46
x_dis_335,45
x_dis_300,45
x_dis_270,45
x_dis_115,45
x_dis_273,45
x_dis_256,45
x_dis_264,45
x_dis_162,44
x_dis_21,44
x_dis_109,44
x_dis_269,44
x_dis_596,44
x_dis_33,44
x_dis_658,44
x_dis_282,44
x_dis_260,44
x_dis_548,44
x_dis_517,44
x_dis_147,44
x_dis_82,44
x_dis_279,44
x_dis_609,44
x_dis_234,44
x_dis_294,44
x_dis_35,43
x_dis_195,43
x_dis_278,43
x_dis_213,43
x_dis_66,43
x_dis_97,43
x_dis_176,43
x_dis_550,43
x_dis_337,42
x_dis_204,42
x_dis_318,42
x_dis_784,42
x_dis_55,42
x_dis_595,42
x_dis_628,42
x_dis_608,42
x_dis_568,41
x_dis_494,41
x_dis_267,41
x_dis_474,41
x_dis_248,41
x_dis_650,41
x_dis_20,41
x_dis_724,41
x_dis_453,41
x_dis_607,41
x_dis_391,41
x_dis_493,41
x_dis_575,41
x_dis_177,41
x_dis_124,40
x_dis_61,40
x_dis_295,40
x_dis_189,40
x_dis_96,40
x_dis_215,40
x_dis_339,40
x_dis_688,40
x_dis_588,40
x_dis_164,40
x_dis_23,40
x_dis_543,40
x_dis_225,39
x_dis_740,39
x_dis_358,39
x_dis_330,39
x_dis_458,39
x_dis_463,39
x_dis_40,39
x_dis_74,39
x_dis_179,39
x_dis_600,39
x_dis_599,39
x_dis_127,38
x_dis_506,38
x_dis_208,38
x_dis_246,38
x_dis_606,38
x_dis_288,38
x_dis_265,38
x_dis_259,38
x_dis_315,37
x_dis_120,37
x_dis_682,37
x_dis_643,37
x_dis_305,37
x_dis_441,37
x_dis_87,37
x_dis_36,37
x_dis_122,36
x_dis_349,36
x_dis_175,36
x_dis_219,36
x_dis_589,36
x_dis_223,36
x_dis_420,36
x_dis_11,36
x_dis_126,36
x_dis_459,36
x_dis_551,36
x_dis_211,35
x_dis_104,35
x_dis_85,35
x_dis_160,35
x_dis_518,35
x_dis_91,35
x_dis_687,35
x_dis_571,34
x_dis_275,34
x_dis_83,34
x_dis_446,34
x_dis_202,34
x_dis_86,34
x_dis_585,34
x_dis_627,33
x_dis_143,33
x_dis_576,33
x_dis_296,33
x_dis_159,33
x_dis_618,33
x_dis_434,32
x_dis_186,32
x_dis_17,32
x_dis_583,32
x_dis_726,32
x_dis_125,32
x_dis_482,32
x_dis_64,32
x_dis_621,32
x_dis_307,31
x_dis_549,31
x_dis_635,31
x_dis_54,31
x_dis_216,31
x_dis_156,31
x_dis_206,31
x_dis_18,31
x_dis_114,30
x_dis_645,30
x_dis_545,30
x_dis_297,30
x_dis_590,30
x_dis_119,30
x_dis_117,30
x_dis_165,30
x_dis_610,30
x_dis_546,30
x_dis_112,30
x_dis_523,30
x_dis_182,30
x_dis_418,30
x_dis_232,30
x_dis_131,29
x_dis_308,29
x_dis_502,29
x_dis_350,29
x_dis_531,29
x_dis_351,29
x_dis_359,29
x_dis_579,29
x_dis_508,29
x_dis_654,29
x_dis_72,29
x_dis_614,29
x_dis_41,29
x_dis_519,28
x_dis_478,28
x_dis_233,28
x_dis_581,28
x_dis_594,28
x_dis_286,28
x_dis_640,28
x_dis_574,28
x_dis_619,28
x_dis_310,28
x_dis_184,27
x_dis_12,27
x_dis_285,27
x_dis_311,27
x_dis_139,27
x_dis_490,27
x_dis_578,27
x_dis_611,27
x_dis_466,27
x_dis_662,27
x_dis_572,27
x_dis_536,27
x_dis_630,27
x_dis_485,27
x_dis_484,26
x_dis_483,26
x_dis_140,26
x_dis_617,26
x_dis_242,26
x_dis_56,26
x_dis_203,26
x_dis_620,26
x_dis_386,26
x_dis_172,25
x_dis_664,25
x_dis_157,25
x_dis_108,25
x_dis_123,25
x_dis_298,25
x_dis_552,25
x_dis_134,25
x_dis_263,25
x_dis_365,25
x_dis_646,25
x_dis_24,25
x_dis_577,25
x_dis_649,25
x_dis_88,24
x_dis_231,24
x_dis_230,24
x_dis_569,24
x_dis_370,24
x_dis_602,24
x_dis_121,24
x_dis_505,24
x_dis_648,24
x_dis_794,24
x_dis_235,24
x_dis_467,24
x_dis_327,24
x_dis_515,24
x_dis_130,24
x_dis_555,24
x_dis_322,24
x_dis_191,24
x_dis_154,23
x_dis_660,23
x_dis_529,23
x_dis_368,23
x_dis_355,23
x_dis_527,23
x_dis_642,23
x_dis_597,23
x_dis_781,23
x_dis_639,23
x_dis_314,23
x_dis_106,23
x_dis_496,23
x_dis_676,22
x_dis_442,22
x_dis_313,22
x_dis_605,22
x_dis_101,22
x_dis_684,22
x_dis_276,22
x_dis_604,22
x_dis_511,22
x_dis_150,22
x_dis_637,22
x_dis_491,21
x_dis_738,21
x_dis_257,21
x_dis_334,21
x_dis_92,21
x_dis_612,21
x_dis_526,21
x_dis_317,21
x_dis_469,21
x_dis_647,21
x_dis_532,21
x_dis_228,21
x_dis_547,21
x_dis_656,21
x_dis_363,21
x_dis_636,21
x_dis_331,21
x_dis_217,20
x_dis_626,20
x_dis_534,20
x_dis_200,20
x_dis_289,20
x_dis_683,20
x_dis_541,20
x_dis_258,20
x_dis_306,19
x_dis_470,19
x_dis_135,19
x_dis_558,19
x_dis_283,19
x_dis_539,19
x_dis_394,19
x_dis_344,19
x_dis_504,19
x_dis_291,19
x_dis_593,18
x_dis_320,18
x_dis_43,18
x_dis_145,18
x_dis_89,18
x_dis_110,18
x_dis_244,18
x_dis_501,18
x_dis_556,18
x_dis_535,18
x_dis_163,18
x_dis_100,18
x_dis_193,18
x_dis_105,18
x_dis_567,18
x_dis_616,18
x_dis_161,18
x_dis_625,17
x_dis_603,17
x_dis_665,17
x_dis_492,17
x_dis_356,17
x_dis_512,17
x_dis_495,17
x_dis_544,17
x_dis_509,17
x_dis_554,16
x_dis_381,16
x_dis_560,16
x_dis_205,16
x_dis_290,16
x_dis_142,16
x_dis_657,16
x_dis_328,15
x_dis_326,15
x_dis_513,15
x_dis_227,15
x_dis_615,15
x_dis_241,15
x_dis_367,15
x_dis_634,15
x_dis_559,15
x_dis_181,15
x_dis_565,15
x_dis_663,15
x_dis_582,15
x_dis_675,15
x_dis_395,15
x_dis_666,15
x_dis_659,15
x_dis_111,14
x_dis_510,14
x_dis_210,14
x_dis_377,14
x_dis_362,14
x_dis_107,14
x_dis_570,14
x_dis_399,14
x_dis_717,14
x_dis_188,14
x_dis_644,14
x_dis_623,14
x_dis_360,13
x_dis_497,13
x_dis_238,13
x_dis_212,13
x_dis_393,13
x_dis_652,13
x_dis_622,13
x_dis_312,13
x_dis_400,13
x_dis_507,13
x_dis_243,13
x_dis_425,13
x_dis_481,13
x_dis_240,13
x_dis_409,13
x_dis_323,13
x_dis_693,13
x_dis_385,12
x_dis_261,12
x_dis_670,12
x_dis_486,12
x_dis_321,12
x_dis_727,12
x_dis_102,12
x_dis_128,12
x_dis_651,12
x_dis_530,12
x_dis_137,11
x_dis_498,11
x_dis_503,11
x_dis_700,11
x_dis_553,11
x_dis_402,11
x_dis_357,11
x_dis_347,11
x_dis_690,11
x_dis_364,11
x_dis_376,11
x_dis_537,11
x_dis_669,11
x_dis_538,11
x_dis_271,10
x_dis_405,10
x_dis_392,10
x_dis_514,10
x_dis_629,10
x_dis_348,10
x_dis_372,10
x_dis_672,10
x_dis_573,10
x_dis_701,10
x_dis_408,10
x_dis_566,10
x_dis_255,10
x_dis_427,10
x_dis_149,10
x_dis_199,9
x_dis_387,9
x_dis_414,9
x_dis_438,9
x_dis_741,9
x_dis_737,9
x_dis_281,9
x_dis_352,9
x_dis_747,9
x_dis_671,9
x_dis_703,9
x_dis_699,9
x_dis_686,9
x_dis_685,9
x_dis_702,9
x_dis_668,8
x_dis_361,8
x_dis_613,8
x_dis_725,8
x_dis_696,8
x_dis_477,8
x_dis_388,8
x_dis_698,8
x_dis_379,8
x_dis_708,8
x_dis_689,8
x_dis_697,8
x_dis_598,8
x_dis_487,8
x_dis_396,8
x_dis_413,7
x_dis_667,7
x_dis_516,7
x_dis_691,7
x_dis_591,7
x_dis_716,7
x_dis_274,7
x_dis_428,7
x_dis_735,7
x_dis_444,7
x_dis_77,7
x_dis_378,7
x_dis_524,7
x_dis_714,7
x_dis_540,7
x_dis_633,7
x_dis_728,6
x_dis_245,6
x_dis_287,6
x_dis_158,6
x_dis_752,6
x_dis_371,6
x_dis_711,6
x_dis_220,6
x_dis_280,6
x_dis_705,6
x_dis_404,6
x_dis_661,6
x_dis_456,6
x_dis_412,6
x_dis_411,6
x_dis_749,6
x_dis_250,5
x_dis_692,5
x_dis_746,5
x_dis_214,5
x_dis_389,5
x_dis_795,5
x_dis_712,5
x_dis_401,5
x_dis_209,5
x_dis_302,5
x_dis_455,5
x_dis_713,5
x_dis_397,4
x_dis_171,4
x_dis_631,4
x_dis_653,4
x_dis_293,4
x_dis_709,4
x_dis_707,4
x_dis_59,4
x_dis_673,4
x_dis_783,4
x_dis_632,4
x_dis_224,4
x_dis_694,4
x_dis_373,4
x_dis_340,3
x_dis_447,3
x_dis_468,3
x_dis_417,3
x_dis_419,3
x_dis_229,3
x_dis_407,3
x_dis_406,3
x_dis_750,3
x_dis_433,3
x_dis_430,3
x_dis_704,3
x_dis_765,3
x_dis_730,3
x_dis_451,3
x_dis_252,3
x_dis_680,3
x_dis_499,3
x_dis_710,3
x_dis_753,3
x_dis_796,2
x_dis_800,2
x_dis_410,2
x_dis_801,2
x_dis_384,2
x_dis_773,2
x_dis_729,2
x_dis_390,2
x_dis_744,2
x_dis_799,2
x_dis_774,2
x_dis_443,2
x_dis_718,2
x_dis_721,2
x_dis_677,2
x_dis_763,2
x_dis_403,2
x_dis_678,2
x_dis_429,2
x_dis_785,2
x_dis_723,2
x_dis_374,2
x_dis_720,2
x_dis_695,1
x_dis_679,1
x_dis_416,1
x_dis_768,1
x_dis_787,1
x_dis_722,1
x_dis_601,1
x_dis_760,1
x_dis_452,1
x_dis_756,1
x_dis_719,1
x_dis_788,1
x_dis_770,1
x_dis_777,1
x_dis_778,1
x_dis_745,1
x_dis_706,1
x_dis_792,1
x_dis_797,1
x_dis_435,1
x_dis_798,1
x_dis_398,1
x_dis_791,1
