feature,score
x_ori_1007,239
x_ori_1025,238
x_ori_2,225
x_ori_339,197
x_ori_1005,178
x_ori_602,177
x_ori_1024,176
x_ori_506,159
x_ori_864,155
x_ori_1022,145
x_ori_222,145
x_ori_366,141
x_ori_867,136
x_ori_264,134
x_ori_221,133
x_ori_223,131
x_ori_862,129
x_ori_502,123
x_ori_247,123
x_ori_371,120
x_ori_365,116
x_ori_321,110
x_ori_290,107
x_ori_858,106
x_ori_113,105
x_ori_1023,104
x_ori_792,99
x_ori_25,95
x_ori_464,95
x_ori_600,95
x_ori_281,91
x_ori_590,90
x_ori_263,90
x_ori_474,89
x_ori_127,88
x_ori_504,88
x_ori_364,88
x_ori_396,86
x_ori_3,85
x_ori_363,85
x_ori_669,85
x_ori_794,84
x_ori_601,84
x_ori_391,83
x_ori_500,83
x_ori_866,82
x_ori_673,82
x_ori_1021,80
x_ori_338,78
x_ori_603,78
x_ori_285,78
x_ori_508,77
x_ori_390,77
x_ori_240,77
x_ori_8,77
x_ori_490,77
x_ori_1006,76
x_ori_394,76
x_ori_1004,76
x_ori_362,74
x_ori_94,73
x_ori_309,72
x_ori_360,72
x_ori_860,71
x_ori_288,71
x_ori_505,70
x_ori_451,69
x_ori_507,68
x_ori_1042,67
x_ori_665,66
x_ori_937,66
x_ori_260,65
x_ori_370,65
x_ori_820,64
x_ori_262,64
x_ori_261,64
x_ori_231,63
x_ori_463,62
x_ori_677,62
x_ori_284,62
x_ori_144,62
x_ori_287,62
x_ori_868,61
x_ori_461,61
x_ori_676,60
x_ori_870,60
x_ori_340,60
x_ori_476,60
x_ori_29,60
x_ori_248,60
x_ori_501,60
x_ori_554,59
x_ori_314,58
x_ori_475,58
x_ori_825,57
x_ori_283,57
x_ori_606,57
x_ori_509,56
x_ori_473,56
x_ori_79,56
x_ori_609,55
x_ori_43,55
x_ori_143,55
x_ori_605,54
x_ori_249,54
x_ori_83,53
x_ori_935,53
x_ori_869,53
x_ori_614,53
x_ori_423,52
x_ori_940,52
x_ori_217,52
x_ori_57,51
x_ori_819,51
x_ori_784,50
x_ori_116,50
x_ori_668,50
x_ori_369,50
x_ori_126,50
x_ori_228,49
x_ori_341,49
x_ori_472,49
x_ori_553,49
x_ori_226,49
x_ori_96,49
x_ori_93,48
x_ori_310,48
x_ori_512,48
x_ori_460,48
x_ori_871,48
x_ori_896,48
x_ori_342,47
x_ori_425,47
x_ori_873,47
x_ori_361,46
x_ori_98,46
x_ori_616,46
x_ori_478,46
x_ori_251,46
x_ori_385,45
x_ori_59,45
x_ori_552,45
x_ori_462,45
x_ori_311,45
x_ori_604,45
x_ori_471,45
x_ori_58,44
