feature,score
x_ori_1007,1548
x_ori_1025,1441
x_ori_2,1320
x_ori_339,1174
x_ori_1024,1129
x_ori_1005,1111
x_ori_506,1060
x_ori_223,1046
x_ori_602,958
x_ori_366,958
x_ori_222,947
x_ori_864,923
x_ori_264,902
x_ori_1022,842
x_ori_221,833
x_ori_862,800
x_ori_371,773
x_ori_247,755
x_ori_365,740
x_ori_502,716
x_ori_867,707
x_ori_321,699
x_ori_858,678
x_ori_364,658
x_ori_792,631
x_ori_290,601
x_ori_113,598
x_ori_3,593
x_ori_600,590
x_ori_464,587
x_ori_500,579
x_ori_391,576
x_ori_590,575
x_ori_1006,560
x_ori_363,558
x_ori_263,555
x_ori_601,551
x_ori_25,546
x_ori_362,536
x_ori_508,521
x_ori_394,519
x_ori_794,515
x_ori_1004,513
x_ori_474,511
x_ori_127,507
x_ori_285,505
x_ori_1023,501
x_ori_866,499
x_ori_288,490
x_ori_554,487
x_ori_370,479
x_ori_504,469
x_ori_673,469
x_ori_261,468
x_ori_390,463
x_ori_281,461
x_ori_1042,457
x_ori_396,454
x_ori_603,453
x_ori_309,446
x_ori_262,441
x_ori_665,438
x_ori_1021,428
x_ori_669,423
x_ori_490,423
x_ori_507,420
x_ori_340,412
x_ori_505,408
x_ori_94,396
x_ori_8,391
x_ori_29,384
x_ori_784,382
x_ori_473,380
x_ori_475,379
x_ori_338,378
x_ori_240,374
x_ori_820,374
x_ori_472,374
x_ori_260,367
x_ori_461,366
x_ori_144,365
x_ori_870,364
x_ori_937,362
x_ori_605,362
x_ori_284,361
x_ori_451,359
x_ori_677,352
x_ori_868,351
x_ori_360,347
x_ori_43,347
x_ori_873,344
x_ori_860,343
x_ori_248,343
x_ori_314,343
x_ori_676,340
x_ori_501,334
x_ori_869,331
x_ori_476,328
x_ori_606,328
x_ori_226,324
x_ori_369,323
x_ori_287,321
x_ori_552,320
x_ori_83,319
x_ori_283,317
x_ori_143,311
x_ori_460,311
x_ori_509,310
x_ori_231,309
x_ori_79,306
x_ori_553,305
x_ori_463,302
x_ori_393,302
x_ori_668,298
x_ori_607,298
x_ori_292,294
x_ori_249,292
x_ori_935,291
x_ori_614,290
x_ori_96,287
x_ori_510,286
x_ori_251,284
x_ori_940,283
x_ori_126,283
x_ori_819,282
x_ori_217,280
x_ori_361,280
x_ori_341,278
x_ori_512,274
x_ori_28,274
x_ori_93,271
x_ori_310,271
x_ori_615,269
x_ori_125,269
x_ori_609,267
x_ori_871,267
x_ori_359,267
x_ori_57,262
x_ori_611,261
x_ori_621,260
x_ori_931,260
x_ori_616,257
x_ori_395,257
x_ori_825,256
x_ori_148,256
x_ori_425,255
x_ori_470,255
x_ori_872,253
x_ori_252,253
x_ori_311,250
x_ori_92,250
x_ori_752,248
x_ori_610,247
x_ori_342,246
x_ori_754,246
x_ori_343,246
x_ori_98,244
x_ori_344,243
x_ori_385,242
x_ori_59,242
x_ori_42,242
x_ori_462,240
x_ori_493,238
x_ori_116,237
x_ori_241,236
x_ori_367,236
x_ori_17,236
x_ori_471,235
x_ori_295,234
x_ori_368,232
x_ori_423,228
x_ori_82,228
x_ori_259,228
x_ori_389,228
x_ori_608,228
x_ori_727,225
x_ori_147,225
x_ori_228,223
x_ori_876,223
x_ori_75,222
x_ori_450,221
x_ori_478,219
x_ori_137,218
x_ori_865,216
x_ori_896,213
x_ori_477,211
x_ori_672,210
x_ori_939,208
x_ori_224,207
x_ori_569,207
x_ori_511,207
x_ori_492,206
x_ori_151,206
x_ori_748,205
x_ori_278,205
x_ori_149,204
x_ori_235,204
x_ori_491,203
x_ori_11,202
x_ori_373,201
x_ori_115,201
x_ori_154,201
x_ori_162,198
x_ori_31,197
x_ori_138,197
x_ori_526,197
x_ori_347,196
x_ori_315,192
x_ori_695,191
x_ori_555,189
x_ori_293,188
x_ori_466,187
x_ori_468,187
x_ori_494,187
x_ori_589,186
x_ori_350,186
x_ori_824,185
x_ori_348,185
x_ori_594,185
x_ori_604,184
x_ori_769,184
x_ori_514,181
x_ori_139,180
x_ori_612,180
x_ori_372,180
x_ori_220,180
x_ori_104,178
x_ori_291,178
x_ori_91,177
x_ori_318,177
x_ori_753,176
x_ori_320,176
x_ori_219,176
x_ori_613,175
x_ori_384,175
x_ori_58,173
x_ori_301,173
x_ori_392,172
x_ori_513,170
x_ori_80,170
x_ori_725,170
x_ori_86,169
x_ori_859,169
x_ori_469,169
x_ori_150,168
x_ori_346,168
x_ori_515,168
x_ori_424,168
x_ori_101,168
x_ori_435,168
x_ori_88,166
x_ori_85,165
x_ori_9,165
x_ori_30,165
x_ori_153,165
x_ori_158,163
x_ori_588,163
x_ori_345,163
x_ori_282,163
x_ori_286,163
x_ori_313,162
x_ori_382,161
x_ori_649,159
x_ori_556,159
x_ori_349,159
x_ori_294,159
x_ori_6,158
x_ori_102,158
x_ori_498,158
x_ori_408,158
x_ori_146,156
x_ori_496,156
x_ori_18,156
x_ori_157,156
x_ori_155,155
x_ori_47,153
x_ori_21,152
x_ori_626,152
x_ori_19,151
x_ori_152,151
x_ori_77,150
x_ori_358,150
x_ori_587,149
x_ori_317,149
x_ori_557,149
x_ori_27,148
x_ori_560,147
x_ori_20,146
x_ori_351,146
x_ori_56,145
x_ori_558,144
x_ori_38,144
x_ori_156,144
x_ori_87,143
x_ori_129,143
x_ori_232,143
x_ori_495,143
x_ori_1011,143
x_ori_99,141
x_ori_90,140
x_ori_561,139
x_ori_488,139
x_ori_316,138
x_ori_1058,138
x_ori_456,138
x_ori_499,138
x_ori_230,138
x_ori_562,137
x_ori_52,137
x_ori_26,137
x_ori_667,136
x_ori_489,136
x_ori_457,135
x_ori_1009,135
x_ori_933,134
x_ori_337,133
x_ori_733,132
x_ori_564,131
x_ori_7,131
x_ori_874,131
x_ori_357,131
x_ori_822,130
x_ori_577,130
x_ori_671,130
x_ori_76,129
x_ori_459,129
x_ori_1012,128
x_ori_942,128
x_ori_23,127
x_ori_740,127
x_ori_497,127
x_ori_503,127
x_ori_97,126
x_ori_1013,126
x_ori_1052,126
x_ori_592,125
x_ori_675,124
x_ori_383,124
x_ori_84,123
x_ori_559,123
x_ori_74,122
x_ori_454,122
x_ori_22,122
x_ori_946,122
x_ori_487,122
x_ori_579,121
x_ori_620,121
x_ori_568,121
x_ori_312,120
x_ori_941,119
x_ori_255,118
x_ori_943,118
x_ori_225,118
x_ori_319,117
x_ori_403,116
x_ori_458,116
x_ori_525,115
x_ori_1010,115
x_ori_565,115
x_ori_678,114
x_ori_402,114
x_ori_875,113
x_ori_905,113
x_ori_563,113
x_ori_861,111
x_ori_1040,111
x_ori_944,111
x_ori_14,111
x_ori_45,111
x_ori_527,110
x_ori_1039,109
x_ori_679,108
x_ori_438,106
x_ori_10,105
x_ori_774,105
x_ori_880,105
x_ori_250,105
x_ori_593,105
x_ori_55,104
x_ori_253,104
x_ori_1061,103
x_ori_776,103
x_ori_623,102
x_ori_529,102
x_ori_1015,102
x_ori_128,101
x_ori_551,100
x_ori_422,100
x_ori_199,100
x_ori_467,100
x_ori_540,99
x_ori_133,99
x_ori_756,99
x_ori_12,98
x_ori_49,98
x_ori_72,97
x_ori_650,97
x_ori_289,97
x_ori_694,97
x_ori_732,95
x_ori_580,95
x_ori_430,95
x_ori_907,94
x_ori_48,94
x_ori_145,94
x_ori_1041,92
x_ori_1068,92
x_ori_578,91
x_ori_34,90
x_ori_945,90
x_ori_567,89
x_ori_81,89
x_ori_796,89
x_ori_405,88
x_ori_949,88
x_ori_530,87
x_ori_428,86
x_ori_236,86
x_ori_243,86
x_ori_50,86
x_ori_892,85
x_ori_797,85
x_ori_775,84
x_ori_432,84
x_ori_617,84
x_ori_103,83
x_ori_119,83
x_ori_280,83
x_ori_877,83
x_ori_427,83
x_ori_234,82
x_ori_684,82
x_ori_537,81
x_ori_1088,81
x_ori_120,81
x_ori_388,80
x_ori_5,79
x_ori_887,79
x_ori_32,79
x_ori_298,79
x_ori_524,79
x_ori_772,78
x_ori_480,78
x_ori_187,78
x_ori_400,78
x_ori_528,78
x_ori_44,78
x_ori_533,78
x_ori_404,77
x_ori_322,77
x_ori_791,76
x_ori_890,76
x_ori_674,76
x_ori_453,76
x_ori_938,75
x_ori_246,75
x_ori_279,75
x_ori_532,74
x_ori_142,74
x_ori_429,74
x_ori_680,74
x_ori_271,74
x_ori_114,73
x_ori_536,73
x_ori_969,73
x_ori_535,72
x_ori_531,72
x_ori_891,72
x_ori_712,71
x_ori_95,71
x_ori_534,70
x_ori_141,70
x_ori_441,70
