feature,score
x_rank_769,518
x_rank_776,482
x_rank_262,446
x_rank_132,422
x_rank_584,406
x_rank_341,393
x_rank_70,345
x_rank_775,339
x_rank_779,338
x_rank_345,316
x_rank_755,305
x_rank_346,298
x_rank_338,289
x_rank_771,281
x_rank_319,275
x_rank_34,254
x_rank_65,251
x_rank_758,246
x_rank_192,245
x_rank_790,239
x_rank_48,237
x_rank_39,230
x_rank_761,225
x_rank_79,221
x_rank_52,221
x_rank_742,220
x_rank_266,219
x_rank_28,218
x_rank_46,212
x_rank_236,212
x_rank_51,211
x_rank_754,211
x_rank_166,209
x_rank_141,208
x_rank_336,208
x_rank_354,204
x_rank_786,202
x_rank_366,200
x_rank_793,196
x_rank_329,194
x_rank_332,193
x_rank_226,193
x_rank_732,188
x_rank_542,188
x_rank_25,187
x_rank_759,187
x_rank_764,183
x_rank_138,180
x_rank_47,180
x_rank_767,176
x_rank_13,170
x_rank_57,168
x_rank_247,163
x_rank_98,158
x_rank_309,157
x_rank_207,157
x_rank_60,156
x_rank_734,154
x_rank_76,153
x_rank_53,153
x_rank_748,153
x_rank_301,153
x_rank_4,152
x_rank_284,151
x_rank_303,150
x_rank_369,149
x_rank_333,148
x_rank_190,148
x_rank_35,145
x_rank_58,145
x_rank_183,143
x_rank_38,143
x_rank_237,142
x_rank_168,141
x_rank_7,141
x_rank_63,139
x_rank_789,137
x_rank_422,136
x_rank_29,134
x_rank_31,132
x_rank_44,131
x_rank_103,130
x_rank_196,129
x_rank_69,128
x_rank_151,127
x_rank_655,126
x_rank_249,125
x_rank_73,125
x_rank_144,125
x_rank_739,124
x_rank_71,124
x_rank_187,123
x_rank_62,122
x_rank_342,122
x_rank_19,121
x_rank_268,120
x_rank_194,119
x_rank_201,119
x_rank_170,118
x_rank_185,118
x_rank_78,117
x_rank_42,116
x_rank_736,114
x_rank_221,114
x_rank_68,113
x_rank_99,113
x_rank_26,112
x_rank_1,112
x_rank_234,111
x_rank_95,110
x_rank_27,110
x_rank_239,110
x_rank_22,109
x_rank_197,108
x_rank_178,108
x_rank_61,106
x_rank_743,106
x_rank_316,106
x_rank_382,105
x_rank_146,104
x_rank_304,104
x_rank_222,102
x_rank_522,102
x_rank_277,101
x_rank_147,101
x_rank_133,101
x_rank_14,101
x_rank_218,100
x_rank_30,100
x_rank_37,100
x_rank_152,100
x_rank_264,100
x_rank_375,99
x_rank_292,98
x_rank_129,98
x_rank_155,97
x_rank_49,97
x_rank_198,96
x_rank_126,96
x_rank_256,95
x_rank_391,95
x_rank_80,94
x_rank_136,94
x_rank_781,94
x_rank_90,94
x_rank_67,93
x_rank_113,93
x_rank_251,93
x_rank_253,93
x_rank_453,92
x_rank_180,92
x_rank_215,92
x_rank_75,91
x_rank_269,91
x_rank_246,90
x_rank_294,90
x_rank_794,89
x_rank_223,89
x_rank_179,89
x_rank_731,88
x_rank_278,88
x_rank_296,88
x_rank_471,87
x_rank_213,87
x_rank_267,86
x_rank_169,86
x_rank_167,85
x_rank_472,85
x_rank_177,85
x_rank_260,84
x_rank_162,84
x_rank_55,83
x_rank_16,82
x_rank_740,82
x_rank_97,82
x_rank_50,82
x_rank_176,81
x_rank_204,81
x_rank_174,81
x_rank_94,80
x_rank_216,80
x_rank_82,80
x_rank_66,80
x_rank_330,80
x_rank_259,80
x_rank_291,79
x_rank_457,79
x_rank_248,79
x_rank_164,79
x_rank_784,78
x_rank_40,78
x_rank_9,78
x_rank_733,77
x_rank_148,77
x_rank_10,77
x_rank_173,77
x_rank_233,76
x_rank_83,76
x_rank_203,76
x_rank_84,75
x_rank_383,75
x_rank_235,75
x_rank_116,74
x_rank_156,74
x_rank_202,73
x_rank_119,73
x_rank_15,73
x_rank_91,73
x_rank_320,73
x_rank_195,73
x_rank_189,72
x_rank_310,72
x_rank_311,72
x_rank_93,72
x_rank_454,71
x_rank_318,71
x_rank_343,71
x_rank_8,71
x_rank_420,71
x_rank_154,70
x_rank_300,70
x_rank_36,67
x_rank_106,67
x_rank_117,66
x_rank_96,66
x_rank_337,66
x_rank_305,66
x_rank_219,66
x_rank_145,66
x_rank_109,66
x_rank_282,66
x_rank_124,65
x_rank_295,65
x_rank_104,65
x_rank_5,65
x_rank_308,65
x_rank_85,65
x_rank_232,65
x_rank_307,65
x_rank_160,64
x_rank_2,64
x_rank_191,63
x_rank_265,63
x_rank_143,63
x_rank_159,63
x_rank_464,63
x_rank_437,63
x_rank_211,63
x_rank_358,62
x_rank_3,62
