feature,score
x_rank_769,1727
x_rank_776,1640
x_rank_584,1560
x_rank_132,1508
x_rank_262,1466
x_rank_341,1378
x_rank_775,1291
x_rank_779,1173
x_rank_70,1152
x_rank_346,1129
x_rank_755,1120
x_rank_345,1084
x_rank_338,1074
x_rank_771,932
x_rank_48,920
x_rank_790,909
x_rank_34,896
x_rank_28,872
x_rank_319,870
x_rank_758,869
x_rank_236,863
x_rank_65,853
x_rank_192,848
x_rank_742,846
x_rank_761,811
x_rank_52,783
x_rank_39,773
x_rank_79,764
x_rank_354,757
x_rank_754,745
x_rank_336,742
x_rank_793,726
x_rank_46,726
x_rank_266,726
x_rank_51,722
x_rank_366,719
x_rank_25,715
x_rank_141,713
x_rank_542,704
x_rank_767,696
x_rank_166,694
x_rank_759,693
x_rank_732,692
x_rank_786,691
x_rank_329,690
x_rank_13,686
x_rank_226,660
x_rank_247,656
x_rank_764,631
x_rank_332,625
x_rank_138,624
x_rank_207,616
x_rank_748,586
x_rank_301,582
x_rank_47,580
x_rank_309,579
x_rank_60,569
x_rank_53,560
x_rank_98,560
x_rank_369,553
x_rank_284,553
x_rank_342,544
x_rank_57,538
x_rank_333,537
x_rank_58,537
x_rank_62,533
x_rank_7,531
x_rank_76,527
x_rank_303,524
x_rank_63,519
x_rank_4,514
x_rank_739,494
x_rank_38,492
x_rank_734,482
x_rank_196,481
x_rank_69,473
x_rank_736,471
x_rank_190,469
x_rank_29,467
x_rank_78,467
x_rank_183,466
x_rank_44,465
x_rank_422,462
x_rank_194,462
x_rank_71,461
x_rank_249,461
x_rank_151,458
x_rank_35,458
x_rank_170,456
x_rank_268,455
x_rank_187,455
x_rank_201,452
x_rank_31,452
x_rank_743,450
x_rank_73,447
x_rank_789,447
x_rank_382,446
x_rank_178,444
x_rank_42,440
x_rank_168,438
x_rank_26,438
x_rank_19,434
x_rank_655,429
x_rank_129,426
x_rank_68,421
x_rank_22,418
x_rank_103,417
x_rank_237,417
x_rank_30,413
x_rank_27,412
x_rank_1,411
x_rank_185,406
x_rank_218,397
x_rank_239,396
x_rank_37,395
x_rank_264,392
x_rank_221,388
x_rank_61,386
x_rank_316,386
x_rank_67,381
x_rank_49,378
x_rank_95,377
x_rank_152,373
x_rank_304,366
x_rank_197,365
x_rank_234,364
